loss,accuracy,val_loss,val_accuracy
3.3820548057556152,0.515625,2.724533796310425,0.59375
1.7395129203796387,0.5625,1.1807492971420288,0.515625
0.9851593971252441,0.5980113744735718,0.7501153945922852,0.6875
0.8516877889633179,0.59375,0.9345624446868896,0.625
0.7562388777732849,0.6363636255264282,0.4752677381038666,0.78125
0.6986185908317566,0.6647727489471436,0.4295753836631775,0.796875
0.5723972320556641,0.703125,0.7514112591743469,0.703125
0.8546451330184937,0.6221591234207153,1.5933458805084229,0.4375
0.7984264492988586,0.6448863744735718,1.0284771919250488,0.625
0.8303025960922241,0.6463068127632141,0.678896427154541,0.75
0.7265288233757019,0.6747159361839294,0.6942018270492554,0.703125
0.5941504836082458,0.7286931872367859,1.2527107000350952,0.515625
0.7715654373168945,0.6860795617103577,0.5707926154136658,0.796875
0.5601263046264648,0.7386363744735718,0.79523104429245,0.625
0.5084579586982727,0.7642045617103577,0.665629506111145,0.609375
0.6237404942512512,0.7286931872367859,0.6473960876464844,0.734375
0.6689969897270203,0.7045454978942871,0.5869555473327637,0.78125
0.4991975426673889,0.7713068127632141,0.539756715297699,0.734375
0.572260320186615,0.7357954978942871,0.8290270566940308,0.671875
0.782799243927002,0.6803977489471436,0.56682288646698,0.765625
